xml:id,wikidata,name_alias,forename,surname,birth_date,birth_place,death_date,death_place,type,role,commentaire,validation,compte,birth_place_qid,death_place_qid
Dieu,https://www.wikidata.org/wiki/Q190,,,Dieu,,,,,personnage biblique,"entité divine, être suprême et objet principal de la foi monothéiste",,4,2616,,
Jesus,https://www.wikidata.org/wiki/Q302,Jesus,Jesus de,Nazaret,-5,Q5776,30-04-07,Q170516,personnage biblique,messie et fils unique de Dieu pour les chrétiens,,4,2581,Q5776,Q170516
Marie,https://www.wikidata.org/wiki/Q345,La Vierge,,Marie,,,,,personnage biblique,mère de Jésus de Nazareth,,4,2401,,
Raphael,http://www.wikidata.org/entity/Q5597,Raphaël,Raffaello,Sanzio,1483-04-06,Q2759,1520-04-06,Rome,"artiste,peintre,architecte",peintre et architecte italien de la Renaissance (1483–1520),,4,2163,Q2759,Q220
MichelAnge,http://www.wikidata.org/entity/Q5592,,Michelangelo,Buonarroti,1475-03-06,Q52069,1564-02-18,Rome,"artiste,peintre,architecte,sculpteur","peintre, sculpteur, poète et architecte italien du XVIe siècle",,4,2096,Q52069,Q220
Vitruve,https://www.wikidata.org/wiki/Q47163,,,Vitruve,-80,Q128086,-15,,architecte,architecte et écrivain romain,,4,936,Q128086,
AlexandreLeGrand,https://www.wikidata.org/wiki/Q8409,,,Alexandre le Grand,-356-07-20,Pella,-323-06-10,Babylone,"personnage politique,militaire",roi de Macédoine et conquérant de la Perse achéménide (356-323 av. J.-C.),,4,905,Q213679,Q5684
GiorgioVasari,http://www.wikidata.org/entity/Q128027,,Giorgio,Vasari,1511-07-30,Arezzo,1574-06-27,Florence,"artiste,peintre,auteur(e) de textes",peintre et historien de l'art italien (1511-1574),,4,897,Q13378,Q2044
Giotto,http://www.wikidata.org/entity/Q7814,Giotto,Giotto,di Bondone,1267,Q82880,1337-01-08,Florence,"artiste,peintre","peintre, sculpteur et architecte italien (c. 1267–1337)",,4,873,Q82880,Q2044
Santi,,,,Santi,,,,,non identifié,,,2,861,,
Titien,http://www.wikidata.org/entity/Q47551,Titien,Tiziano,Vecellio,1490,Cadore,1576-08-27,Venise,"artiste,peintre",peintre et graveur vénitien (c. 1488-1576),,4,806,Q41065,Q641
LeonardoDaVinci,http://www.wikidata.org/entity/Q762,Léonard de Vinci,Leonardo,da Vinci,1452-04-15,Q154184,1519-05-02,Q1122731,"artiste,peintre,architecte,sculpteur,auteur(e) de textes,ingénieur","peintre, sculpteur, architecte et ingénieur, théoricien de l'art et chercheur scientifique toscan",,4,799,Q154184,Q1122731
Venus,https://www.wikidata.org/wiki/Q47652,,,Vénus,,,,,personnage mythologique,"déesse de l'amour, de la séduction, de la beauté féminine dans la mythologie romaine",,4,679,,
Jupiter,https://www.wikidata.org/wiki/Q34201,,,Jupiter,,,,,personnage mythologique,roi des dieux dans la religion grecque antique et la mythologie grecque,,4,660,,
Pline,https://www.wikidata.org/wiki/Q82778,Pline l'Ancien,,Pline,20,Q50711037,79,Q547910,auteur(e) de textes,"homme politique, naturaliste et philosophe romain du Ier siècle (23 apr. J.-C.-79)",,4,629,Q50711037,Q547910
Donatello,http://www.wikidata.org/entity/Q37562,Donatello,Donato,di Niccolò di Betto Bardi,1386,Florence,1466-12-13,Florence,"artiste,peintre",sculpteur italien,,4,610,Q2044,Q2044
Apelle,https://www.wikidata.org/wiki/Q216822,Apelle,,Apelle,-370,Q1142488,-306,Cos,"artiste,peintre",peintre grec de l'Antiquité,,4,500,Q1142488,Q187027
Apollon,https://www.wikidata.org/wiki/Q37340,,,Apollon,,Delos,,,personnage mythologique,"dieu de la musique, de la poésie, des oracles et des épidémies dans la religion grecque antique et la mythologie grecque",,4,474,Q173148,
Pymandre,,,,Pymandre,,,,,non identifié,,,2,429,,
